EX	EM	
nm	nm	
		Z of Processed Data: RM
575	250.683	0
575	252.274	0
575	253.866	0
575	255.459	0
575	257.052	0
575	258.646	0
575	260.241	0
575	261.836	0
575	263.432	0
575	265.028	0
575	266.625	0
575	268.223	0
575	269.822	0
575	271.421	0
575	273.021	0
575	274.621	0
575	276.222	0
575	277.824	0
575	279.426	0
575	281.029	0
575	282.633	0
575	284.237	0
575	285.842	0
575	287.448	0
575	289.054	0
575	290.661	0
575	292.268	0
575	293.876	0
575	295.485	0
575	297.094	0
575	298.704	0
575	300.315	0
575	301.926	0
575	303.538	0
575	305.15	0
575	306.763	0
575	308.377	0
575	309.991	0
575	311.606	0
575	313.221	0
575	314.837	0
575	316.454	0
575	318.071	0
575	319.689	0
575	321.307	0
575	322.926	0
575	324.546	0
575	326.166	0
575	327.787	0
575	329.408	0
575	331.03	0
575	332.653	0
575	334.276	0
575	335.9	0
575	337.524	0
575	339.149	0
575	340.774	0
575	342.4	0
575	344.026	0
575	345.653	0
575	347.281	0
575	348.909	0
575	350.538	0
575	352.167	0
575	353.797	0
575	355.428	0
575	357.059	0
575	358.69	0
575	360.322	0
575	361.955	0
575	363.588	0
575	365.222	0
575	366.856	0
575	368.491	0
575	370.126	0
575	371.762	0
575	373.398	0
575	375.035	0
575	376.672	0
575	378.31	0
575	379.949	0
575	381.588	0
575	383.227	0
575	384.867	0
575	386.508	0
575	388.149	0
575	389.79	0
575	391.432	0
575	393.075	0
575	394.718	0
575	396.361	0
575	398.005	0
575	399.65	0
575	401.295	0
575	402.941	0
575	404.587	0
575	406.233	0
575	407.88	0
575	409.527	0
575	411.175	0
575	412.824	0
575	414.473	0
575	416.122	0
575	417.772	0
575	419.422	0
575	421.073	0
575	422.724	0
575	424.376	0
575	426.028	0
575	427.681	0
575	429.334	0
575	430.987	0
575	432.641	0
575	434.295	0
575	435.95	0
575	437.606	0
575	439.261	0
575	440.918	0
575	442.574	0
575	444.231	0
575	445.889	0
575	447.547	0
575	449.205	0
575	450.864	0
575	452.523	0
575	454.182	0
575	455.842	0
575	457.503	0
575	459.164	0
575	460.825	0
575	462.487	0
575	464.149	0
575	465.811	0
575	467.474	0
575	469.137	0
575	470.801	0
575	472.465	0
575	474.13	0
575	475.794	0
575	477.46	0
575	479.125	0
575	480.791	0
575	482.458	0
575	484.124	0
575	485.792	0
575	487.459	0
575	489.127	0
575	490.795	0
575	492.464	0
575	494.133	0
575	495.802	0
575	497.472	0
575	499.142	0
575	500.812	0
575	502.483	0
575	504.154	0
575	505.825	0
575	507.497	0
575	509.169	0
575	510.842	0
575	512.514	0
575	514.187	0
575	515.861	0
575	517.535	0
575	519.209	0
575	520.883	0
575	522.558	0
575	524.233	0
575	525.908	0
575	527.584	0
575	529.26	0
575	530.936	0
575	532.613	0
575	534.29	0
575	535.967	0
575	537.644	0
575	539.322	0
575	541	0
575	542.678	0
575	544.357	0
575	546.036	0
575	547.715	0
575	549.395	0
575	551.074	0
575	552.754	0
575	554.435	0
575	556.115	0
575	557.796	0
575	559.477	0
575	561.159	0
575	562.84	0
575	564.522	0
575	566.204	0
575	567.886	0
575	569.569	0
575	571.252	0
575	572.935	0
575	574.618	0
575	576.302	0
575	577.986	0
575	579.67	0
575	581.354	0
575	583.038	0
575	584.723	0
575	586.408	-20.5703695493925
575	588.093	44.0266417600649
575	589.778	-9.4509697460113
575	591.464	20.1235949091418
575	593.15	11.599979208517
575	594.835	20.3568846958996
575	596.522	30.3011990824969
575	598.208	30.006173394078
575	599.894	37.144962496994
575	601.581	21.608318585805
575	603.268	21.1750594215052
575	604.955	28.6702926910729
575	606.643	24.0951214856355
575	608.33	32.6543599958615
575	610.018	11.6591531069993
575	611.705	46.9863550470435
575	613.394	32.3794559214208
575	615.082	39.0328600014072
575	616.77	45.9765612439022
575	618.459	-6.54697125724326
575	620.147	77.3757495971283
570	211.124	0
570	212.698	0
570	214.273	0
570	215.848	0
570	217.424	0
570	219.001	0
570	220.579	0
570	222.157	0
570	223.736	0
570	225.315	0
570	226.896	0
570	228.477	0
570	230.058	0
570	231.641	0
570	233.224	0
570	234.808	0
570	236.392	0
570	237.977	0
570	239.563	0
570	241.15	0
570	242.737	0
570	244.325	0
570	245.913	0
570	247.503	0
570	249.093	0
570	250.683	0
570	252.274	0
570	253.866	0
570	255.459	0
570	257.052	0
570	258.646	0
570	260.241	0
570	261.836	0
570	263.432	0
570	265.028	0
570	266.625	0
570	268.223	0
570	269.822	0
570	271.421	0
570	273.021	0
570	274.621	0
570	276.222	0
570	277.824	0
570	279.426	0
570	281.029	0
